,battingPoints,bowlingPoints,fieldingPoints,matchId,playerId,playerName,playerTeam,secondInningBattingPoints,secondInningBowlingPoints,secondInningFieldingPoints
332,0,58,0,7908,3646,tom-curran,kkr,0,0,0
333,0,0,10,7908,3761,shubman-gill,kkr,0,0,0
334,0,34,20,7908,3779,shivam-mavi,kkr,0,0,0
335,24,72,0,7908,3834,krishnappa-gowtham,rr,0,72,0
336,20,0,0,7908,3838,rahul-tripathi,rr,0,0,0
337,61,0,0,7908,3887,d-arcy-short,rr,0,0,0
338,0,-14,0,7909,8,ravichandran-ashwin,kxp,0,-14,0
339,6,0,0,7909,16,wriddhiman-saha,sh,6,0,0
340,0,0,10,7909,41,shikhar-dhawan,sh,0,0,0
341,24,0,0,7909,96,yusuf-pathan,sh,24,0,0
342,0,0,0,7909,113,yuvraj-singh,kxp,0,0,0
343,0,40,0,7909,116,bhuvneshwar-kumar,sh,0,0,0
344,84,0,0,7909,123,manish-pandey,sh,84,0,0
345,35,0,0,7909,158,mayank-agarwal,kxp,0,0,0
346,31,0,10,7909,167,aaron-finch,kxp,0,0,10
347,43,-13,0,7909,201,shakib-al-hasan,sh,43,0,0
348,176,0,0,7909,236,chris-gayle,kxp,0,0,0
349,48,0,0,7909,276,karun-nair,kxp,0,0,0
350,83,0,0,7909,440,kane-williamson,sh,83,0,0
351,0,29,0,7909,1086,siddarth-kaul,sh,0,0,0
352,0,39,0,7909,1107,mohit-sharma,kxp,0,39,0
353,8,0,0,7909,1125,lokesh-rahul,kxp,0,0,0
354,0,21,0,7909,1299,chris-jordan,sh,0,0,0
355,0,70,0,7909,1480,andrew-tye,kxp,0,70,0
356,5,15,10,7909,1556,deepak-hooda,sh,5,0,0
357,0,21,0,7909,2746,barinder-sran,kxp,0,21,0
358,0,13,0,7909,2885,rashid-khan,sh,0,0,0
359,0,15,0,7909,4572,mujeeb-ur-rahman,kxp,0,15,0
360,0,0,0,7909,1521,billy-stanlake,sh,0,0,0
361,5,0,20,7910,1,ms-dhoni,csk,0,0,20
362,2,11,0,7910,9,ravindra-jadeja,csk,0,11,0
363,66,0,0,7910,14,suresh-raina,csk,0,0,0
364,34,62,0,7910,25,dwayne-bravo,csk,0,62,0
365,26,13,0,7910,86,jaydev-unadkat,rr,26,0,0
366,22,0,0,7910,100,ambati-rayudu,csk,0,0,0
367,23,0,0,7910,135,ajinkya-rahane,rr,23,0,0
368,0,69,0,7910,140,deepak-chahar,csk,0,69,0
369,15,-13,0,7910,148,stuart-binny,rr,15,0,0
370,168,44,0,7910,227,shane-watson,csk,0,44,0
371,2,0,0,7910,258,sanju-samson,rr,2,0,0
372,29,0,20,7910,509,jos-buttler,rr,29,0,0
373,0,14,10,7910,898,imran-tahir,csk,0,14,10
374,0,60,0,7910,921,ben-laughlin,rr,0,0,0
375,0,57,10,7910,1118,karn-sharma,csk,0,57,10
376,62,-11,10,7910,1154,ben-stokes,rr,62,0,0
377,0,69,10,7910,1745,shardul-thakur,csk,0,69,10
378,8,107,0,7910,1748,shreyas-gopal,rr,8,0,0
379,3,0,20,7910,2756,sam-billings,csk,0,0,20
380,1,-7,20,7910,3834,krishnappa-gowtham,rr,1,0,0
381,5,0,0,7910,3838,rahul-tripathi,rr,5,0,0
382,7,0,0,7910,3869,heinrich-klaasen,rr,7,0,0
383,0,30,0,7911,8,ravichandran-ashwin,kxp,0,0,0
384,2,-6,0,7911,76,piyush-chawla,kkr,0,-6,0
385,63,0,0,7911,102,dinesh-karthik,kkr,0,0,0
386,0,-15,0,7911,113,yuvraj-singh,kxp,0,0,0
387,51,0,0,7911,127,robin-uthappa,kkr,0,0,0
388,2,0,0,7911,158,mayank-agarwal,kxp,2,0,0
389,0,0,0,7911,167,aaron-finch,kxp,0,0,0
390,15,-13,0,7911,177,andre-russell,kkr,0,-13,0
391,112,0,0,7911,179,chris-lynn,kkr,0,0,0
